scen	year	zh_name	era	brief_zh
Meuse	1944-09	默茲河	西歐	盟軍推進至比利時法國邊境默茲河。齊格菲防線前的短暫停頓,補給線拉長。
Moselle	1944-10	摩澤爾河	西歐	巴頓第 3 軍團渡摩澤爾河、進攻梅斯要塞。三個月血戰終於突破。
To The Rhine	1944-11	兵臨萊茵河	西歐	盟軍冬季推進至萊茵河西岸。齊格菲防線消耗戰,巴頓橫掃薩爾地區。
Ruhr	1945-03	魯爾包圍	西歐	盟軍南北鉗形合圍德國工業心臟。莫德爾 B 集團軍 32 萬人投降,德國失去戰爭工業基礎。
Germany	1945-04	德國本土	西歐	盟軍全面推進德國中部。美軍第 9 軍團渡易北河與蘇軍會師 (托爾高會師)。
Berlin	1945-04	柏林戰役	西歐	蘇軍朱可夫、科涅夫、羅科索夫斯基三方面軍會師柏林。4 月 30 日希特勒自盡,5 月 2 日城陷。
Finland	1941-06	芬蘭戰場	東線	芬蘭續戰爭。芬軍配合德軍北方集團軍收復冬季戰爭失地。1944 年蘇軍反攻,芬蘭 9 月停戰。
Pskov	1941-07	普斯科夫	東線	德北方集團軍推進波羅的海方向的重要節點。攻下後直逼列寧格勒。
Vyazma	1941-10	維亞茲馬	東線	颱風作戰第一階段。德中央集團軍合圍蘇軍 6 個軍團,俘 65 萬,重創朱可夫麾下的莫斯科前線防禦。
Leningrad	1941-09	列寧格勒圍城	東線	德北方集團軍圍列寧格勒 872 天。史上最長圍城之一,80 萬平民餓死。1944 年 1 月蘇軍解圍。
Moscow	1941-11	莫斯科	東線	颱風作戰高潮。德軍推進至莫斯科郊外 25 公里,朱可夫組織反攻。冬季提早,德軍 12 月被逼退 150 公里。
Kharkov '42	1942-05	哈爾科夫 (1942)	東線	蘇軍鐵木辛哥反攻遭德軍反包圍,俘 24 萬。曼施泰因典範戰役,阻止蘇軍南部攻勢。
Stalingrad	1942-08	史達林格勒	東線	保盧斯第 6 軍團陷伏爾加河巷戰,天王星作戰蘇軍反包圍。1943 年 2 月保盧斯投降,東線轉捩點。
Rostov	1943-02	羅斯托夫	東線	德南方集團軍史達林格勒後撤退,蘇軍收復頓河下游要衝。
Kharkov '43	1943-02	哈爾科夫 (1943)	東線	曼施泰因反手一擊,重創蘇軍南方面軍收復哈爾科夫。庫斯克大戰前東線穩定。
Dniepr	1943-08	第聶伯河	東線	蘇軍推進至第聶伯河強渡,收復基輔。史達林號稱「東方壁壘」的德軍防線被撕開。
Korsun	1944-01	科爾松合圍	東線	蘇軍二方面軍合圍德軍 6 萬於科爾松突出部。曼施泰因組織裝甲救援,德軍損失慘重突圍。
Minsk	1944-06	明斯克	東線	巴格拉基昂作戰高潮,蘇軍收復白俄羅斯首府,德中央集團軍徹底覆滅。
Debrecen	1944-10	德布勒森	東線	蘇軍南方面軍馬利諾夫斯基指揮,匈牙利平原大規模裝甲對決。突破後直逼布達佩斯。
Ploesti	1944-08	普洛耶什蒂	東線	蘇軍雅西—基什尼奧夫作戰,佔羅馬尼亞油田。希特勒失去主要合成外燃油來源。
Lake Balaton	1945-03	巴拉頓湖	東線	德軍最後大規模裝甲反攻,SS 第 6 裝甲軍團嘗試守匈牙利油田。三週內被蘇軍反擊粉碎。
Zhitomir	1943-11	日托米爾	東線	蘇軍推進烏克蘭西部,曼施泰因裝甲反擊短暫收復。年底蘇軍再度收復。
